id,title,authors,abstract,keywords,article_url,pdf_url,
11,"The Treatment of Facial Asymmetry with Botulinum Toxin: Current Concepts, Guidelines, and Future Trends",Izolda Heydenrych,"This article will describe facial asymmetry secondary to facial nerve paralysis (FNP), and review current concepts, guidelines, and future trends. Despite the increasing use of botulinum toxin (BoNTA) in treating FNP, ideal dosage, timing, and additional therapies are not unequivocally established. Facial asymmetry significantly impacts quality of life (QOL) by strongly affecting self-perception and social interactions; injectables may mediate great clinical improvement. This article provides practical guidelines for the use of BoNTA and provides schemes for accurate assessment and documentation. A systematic, stepwise approach is recommended with methodical assessment, meticulous placement, conservative dosage, and careful follow-up. Future trends include the potential use of newly developed toxins, muscle modification with fillers, improved imaging techniques, and targeted QOL studies. Hopefully, a growing number of aesthetic injectors may become technically proficient and join multidisciplinary teams for managing FNP.",Bell’s palsy - facial asymmetry - facial nerve paralysis - onabotulinum toxin A - quality of life,https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0040-1715189,https://www.thieme-connect.com/products/ejournals/pdf/10.1055/s-0040-1715189.pdf,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
